name,description,category,price
Java Square Blend Beans,,Coffee Beans,13.95
Bottled Water,,Cold drinks,1.00
Can Soda,,Cold drinks,1.00
Dirty Soda,,Cold drinks,4.29
Fredda,,Cold drinks,3.95
Fredda,,Cold drinks,4.43
Fredda,,Cold drinks,4.95
Gallon of tea,,Cold drinks,15.50
Hibiscus Mint Tea,,Cold drinks,2.35
Hibiscus Mint Tea,,Cold drinks,2.55
Hibiscus Mint Tea,,Cold drinks,2.75
Iced Americano,,Cold drinks,2.65
Iced Americano,,Cold drinks,3.15
Iced Americano,,Cold drinks,3.65
Iced Cafe Au Lait,,Cold drinks,2.35
Iced Cafe Au Lait,,Cold drinks,2.85
Iced Cafe Au Lait,,Cold drinks,2.60
Iced Chai,,Cold drinks,2.35
Iced Chai,,Cold drinks,3.95
Iced Chai,,Cold drinks,4.45
Iced Cold Brew,,Cold drinks,2.49
Iced Cold Brew,,Cold drinks,2.99
Iced Cold Brew,,Cold drinks,3.49
Iced Gelato,,Cold drinks,3.20
Iced Gelato,,Cold drinks,3.70
Iced Gelato,,Cold drinks,4.10
Iced Latte,,Cold drinks,3.07
Iced Latte,,Cold drinks,3.57
Iced Latte,,Cold drinks,4.07
Iced Macchiato,,Cold drinks,3.40
Iced Macchiato,,Cold drinks,3.90
Iced Macchiato,,Cold drinks,4.40
Iced Mocha,,Cold drinks,3.25
Iced Mocha,,Cold drinks,3.75
Iced Mocha,,Cold drinks,4.15
Iced Tea,,Cold drinks,2.15
Iced Tea,,Cold drinks,2.35
Iced Tea,,Cold drinks,2.65
Juice,,Cold drinks,1.69
La Croix Sparkling Water,,Cold drinks,1.00
Lemonade,,Cold drinks,2.00
Lemonade,,Cold drinks,2.75
Lemonade,,Cold drinks,2.45
Matcha Fredda,,Cold drinks,3.42
Matcha Fredda,,Cold drinks,3.92
Matcha Fredda,,Cold drinks,4.40
Milk,,Cold drinks,1.60
Milk,,Cold drinks,1.85
Milk,,Cold drinks,1.99
Milkshake,,Cold drinks,3.10
Milkshake,,Cold drinks,3.72
Milkshake,,Cold drinks,3.99
Ocean Breeze,,Cold drinks,5.16
Passion Lemonade,,Cold drinks,2.60
Passion Lemonade,,Cold drinks,3.05
Passion Lemonade,,Cold drinks,3.60
S.Pellegrino Sparkling Water,,Cold drinks,1.65
Smoothie,,Cold drinks,3.75
Smoothie,,Cold drinks,4.25
Smoothie,,Cold drinks,4.75
10 Inch Dough Bowl Candle,"This is a 10-12 oz candle. The entire candle is handmade, down to the bowl which is hand carved by artists.
Hansel & Gretel - A sweet base of vanilla frosting and Tonka Bean supports mid notes of cinnamon sticks, nutmeg, and graham crackers, with top notes of bergamot and cherry.
Pumpkin Souffle - This fragrance is so good the description just doesn't do it justice! A rich pumpkin flavor blended with a fruity bouquet of cherry and mimosa as well as fresh nutmeg, clove, and cinnamon finished off with nuances of caramel, sweet brown sugar, and vanilla.
Creme Brule - This one smells like a rich, creamy French coffee blend
Mahogany Teakwood - Green, citrus, and fruity top notes with floral noes of jasmine, rose, and lily enhanced by sweet woody and musky base notes.
Creamy Vanilla - A rich and creamy blend of coconut and berries with mid notes of soft butter and mimosa all on a bed of sweet vanilla and warm Tonka Bean.",Faire,29.99
17 OZ Large Coffee Mugs with lid and Removeable Cork Base,"【17 OZ Coffee Mug】  The  coffee mug has a large capacity of 17 oz, large coffee mug perfect for coffee, tea, cocoa, soups, mocha, cappuccino, hot chocolate, or all types of daily drinks.
【Removable Cork Base】Our ceramic coffee mugs have a removable cork base. It can be easily removed and the coffee mug can be washed in the dishwasher or heated in the microwave. After cleaning, assemble the cork to the bottom of the mug and continue to use it.
【Large Comfortable Handle】Our uniquely designed large handle coffee mug allows you to hold your coffee more comfortably and enjoy your coffee to the fullest.
【Splash Proof Lid】Ceramic coffee mug with lid, the splash-proof lid prevents liquid from splashing, but not from spilling. If you flip a full coffee cup or invert the cup, the liquid will leak.
【Great Gift】The matte  finish and cork bottom of this ceramic coffee mug make it the perfect option of gift giving for man or woman. Whether it is a Birthd",Faire,15.00
18oz Glass Tumbler  - Live Well,"G2828.
Glass Silicone Bamboo Plastic",Faire,variable
18oz Glass Tumbler  - Live Well,,Faire,19.95
